# VQE log started 2020-10-27 21:59:56
# Hamiltonian = {'hh': (1, 0, 1, 2), 'dd': (1, -1, -1, 1), 'rr': (1, -1, -1, 1)}
# Exposure time = 5000 ms, simulations with intensity = 4000.0 Hz, noise = 0.000
# Efficiencies = [0.955631, 0.954148, 0.975911, 1.10216]
#     x0      x1      x2      x3      x4      x5   Hmean  Hstdev
   3.470   0.618  -2.151  -0.332   5.281  -1.484   1.477   0.009
   2.324   1.157  -1.476  -2.895   5.137   1.203   1.677   0.011
   1.302   0.149  -1.961  -0.792   2.689   0.360   2.056   0.009
   1.820  -0.014  -0.947  -0.683   2.197   0.088   0.613   0.009
   1.607   0.250  -0.726  -0.419   2.443  -0.032  -1.373   0.005
   1.589  -0.015  -0.652  -0.438   2.503  -0.094  -1.497   0.004
   1.573   0.050  -0.698  -0.445   2.500  -0.070  -1.497   0.004
   1.553   0.047  -0.689  -0.419   2.512  -0.062  -1.501   0.004
   1.573   0.059  -0.702  -0.380   2.520  -0.005  -1.489   0.004
   1.553   0.047  -0.689  -0.419   2.512  -0.062   0.490   0.004
